Participant Birthdate,Mother Birthdate,Father Birthdate,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context,Song Period,Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
1993,1961,1961,1970,2,1,1.0,1.0,1.0,1.0,0.0,1.0,"Being at a dinner at the home of one of my aunts, with the whole family together. I remember my aunt start singing one of the songs blaring, and the rest of her sisters to follow. It must have been in my teens. It's a fun, happy memory.",1985,1,1,1.0,1.0,1.0,1.0,0.0,1.0,I do not recall precisely. It reminds me of the movie some or advertisement in which I heard another to be home with my aunt and another karaoke CD I had in my pre-teen years.,1980,1,1,1.0,1.0,1.0,0.0,1.0,0.0,"Associating a singer with dance classes he attended, although he did not hear the exact song.",2000,2,1,1.0,1.0,1.0,1.0,1.0,1.0,Singing and dancing in the courtyard of my school with my friends. A 9-11 years.,1995,3,1,1.0,1.0,1.0,1.0,1.0,1.0,Celebrate New Year's Eve with my family and dance together. Listen to two songs in loop during my adolescence.,1975,1,1,1.0,0.0,1.0,1.0,0.0,1.0,"Penelope Grease dancing in nightclub with 4 of my friends, trying to imitate the choreography. I remember being located more or less going right, away from the DJ.",1990,1,1,1.0,1.0,0.0,1.0,0.0,1.0,Dancing at a party on ski trip to Andorra with the institute. 15-16. I remember a particular person by passing graceful dance.,2005,1,1,1.0,0.0,0.0,1.0,1.0,1.0,Go for a concrete sidewalk in my neighborhood while listening to my iPod. It will be 4 or 5 years.
1998,1969,1965,1970,1,1,1.0,0.0,3.0,1.0,0.0,0.0,Many of them relate to the summer or car trips,1985,2,0,,,,,,,,1980,3,0,,,,,,,,2000,3,1,3.0,0.0,2.0,2.0,0.0,1.0,"Many of them in prom parties, summer or school songs were popular in their day",1995,4,1,2.0,0.0,2.0,2.0,0.0,0.0,#VALUE!,1975,3,1,3.0,0.0,2.0,2.0,0.0,0.0,#VALUE!,1990,2,0,,,,,,,,2005,1,0,,,,,,,
1996,1964,1967,1970,3,1,3.0,1.0,3.0,1.0,1.0,0.0,,1985,2,1,3.0,3.0,2.0,3.0,1.0,1.0,"the final countdown reminds me of the holidays of my people (in recent years), played by the orchestra and sung by my friends and me to scream peeled",1980,3,1,3.0,3.0,3.0,3.0,3.0,1.0,"I remember hearing one of those songs with my mother in the living room. He told me it was ""song"" that had her and my father, who danced together.",2000,2,1,1.0,3.0,2.0,3.0,3.0,1.0,"Torero song reminds me of a trip with my friends. It sounded a lot during the trip, in the car. Also it sounded in the pub we used to go.",1995,2,0,,,,,,,,1975,3,1,3.0,1.0,3.0,1.0,1.0,1.0,"Many of the songs remind me of mañaneros Sundays when I was little. My mother used to put a cd I had, among others, several of these songs.",1990,2,1,1.0,3.0,1.0,3.0,1.0,1.0,Saturday night reminds me of my high school graduation,2005,2,1,0.0,2.0,0.0,3.0,2.0,0.0,#VALUE!
1998,1968,1970,1970,2,0,,,,,,,,1985,3,1,3.0,1.0,3.0,1.0,1.0,1.0,"Most remind me go with my father in the car singing and / or dancing the living room, especially around 2005-2010",1980,2,1,3.0,1.0,3.0,1.0,1.0,1.0,Mecano reminds me of the holidays people,2000,3,1,3.0,2.0,3.0,3.0,2.0,1.0,You have to be a bullfighter and David Bisbal remind me to go to the bars of my people on a Sunday after church early 2000,1995,3,1,3.0,2.0,3.0,3.0,2.0,1.0,"Around 2006 gave a happy meal with music players and my sister and me we play the same, and for years we used the soundtrack to play with bratz",1975,1,1,3.0,0.0,3.0,1.0,1.0,1.0,#VALUE!,1990,2,1,3.0,2.0,3.0,3.0,2.0,1.0,#VALUE!,2005,2,1,3.0,3.0,3.0,3.0,3.0,1.0,When I was 10 I told the guy I liked my favorite song was hammerfall me and said that hers was hanging in your hands
1994,1969,1964,1970,1,1,1.0,0.0,0.0,0.0,0.0,1.0,"Callosa de Segura, makes more than 15 years in the festival of Moors and Christians, in the barrack of benimerines Moors when he was little",1985,2,1,2.0,0.0,3.0,1.0,0.0,1.0,On the radio and in the barrack of the celebrations of the people,1980,2,0,,,,,,,,2000,4,1,4.0,0.0,3.0,3.0,1.0,1.0,In my childhood and prom dances at school,1995,1,0,,,,,,,,1975,1,0,,,,,,,,1990,1,1,1.0,0.0,1.0,3.0,0.0,1.0,Parties in the garden with my colleagues,2005,2,1,2.0,1.0,3.0,3.0,2.0,1.0,I remember hearing Violators Versi in the car with my parents on the way to Barcelona
1997,1962,1969,1970,1,1,1.0,0.0,1.0,1.0,0.0,1.0,"Christmas dinners, New Year etc. See performances by Spanish historical songs on television with my family.",1985,2,1,1.0,1.0,1.0,1.0,0.0,0.0,,1980,2,1,1.0,0.0,1.0,1.0,0.0,1.0,Listen to songs on TV or radio with my mother or my aunt.,2000,1,1,1.0,1.0,1.0,1.0,0.0,1.0,Town parties,1995,2,1,1.0,1.0,1.0,1.0,0.0,1.0,Listen to the radio with my mother small village parties recently ...,1975,1,0,,,,,,,,1990,1,0,,,,,,,,2005,1,1,1.0,0.0,1.0,0.0,0.0,1.0,Listen to the radio as a child with my mother
1996,1964,1951,1970,3,0,,,,,,,,1985,2,1,1.0,1.0,0.0,2.0,0.0,1.0,The Final Countdown was the song that always dancing in the Christmas holidays with some friends when we were little,1980,2,0,,,,,,,,2000,3,1,3.0,0.0,3.0,0.0,2.0,1.0,My mother and me we loved to dance with Leonardo Dantes and Chayanne. I liked small Upa Dance and Bast (memories alone),1995,2,1,0.0,1.0,0.0,1.0,0.0,1.0,I used to play one of the songs with my group,1975,3,1,3.0,0.0,3.0,0.0,0.0,0.0,"Sergio Dalma and sang a lot with my mother Daddy Cool, small",1990,1,1,0.0,1.0,0.0,1.0,0.0,1.0,Saturday Night's always dance party with my friends,2005,2,1,1.0,1.0,0.0,1.0,1.0,0.0,I liked to sing and imitate Shakira small
1997,1961,1962,1970,2,0,,,,,,,,1985,3,1,2.0,0.0,1.0,0.0,0.0,1.0,"My father had a big band classics of metal music and occasionally put it at home or when we were traveling in the car. Once small, I think five years put that tape in the car when we returned to house after spending the day at the amusement park.",1980,2,0,,,,,,,,2000,3,1,2.0,1.0,1.0,2.0,1.0,0.0,#VALUE!,1995,1,0,,,,,,,,1975,1,0,,,,,,,,1990,2,1,1.0,0.0,0.0,2.0,0.0,1.0,"In late February 2011 I went to the Institute skiing in the Pyrenees, the Catalan side and sat on the bus once with a partner who was obsessed with the theme of infinity, put it almost always.",2005,3,1,1.0,1.0,0.0,2.0,2.0,1.0,When I was 13/14 years listening to a lot of rap and I always put that drawing or doing classwork.
1995,1967,1968,1970,2,0,,,,,,,,1985,3,1,3.0,1.0,1.0,3.0,3.0,0.0,,1980,3,1,4.0,4.0,1.0,3.0,4.0,0.0,,2000,1,0,,,,,,,,1995,1,0,,,,,,,,1975,1,0,,,,,,,,1990,1,0,,,,,,,,2005,1,0,,,,,,,
1997,1963,1963,1970,3,1,3.0,1.0,3.0,1.0,0.0,0.0,,1985,3,1,3.0,0.0,3.0,1.0,0.0,1.0,I remember our neighbor we had in the car to school and sounded kiss fm. I particularly remember the song singing it all together voyage voyage in the car,1980,3,1,3.0,0.0,3.0,1.0,0.0,1.0,"I remember going to a concert of union with my parents. I remember the deafening volume of the music and trying to shout above the noise, but without getting to hear me. I remember dancing a lot, it was summer and we were all very happy",2000,2,1,2.0,1.0,1.0,1.0,1.0,1.0,"I remember as a child also play with my sister and other children singing the toreador representing some point, in the courtyard of the school, very swollen",1995,3,1,2.0,1.0,1.0,1.0,1.0,1.0,"I remember my first unburden zombie ipod, be the first songs I listened with my headphones, as in the first part of adolescence",1975,2,1,2.0,2.0,1.0,1.0,1.0,1.0,"at school we made a function of grease and memory tests, and madly in adolescents, with a turkey tremendous, singing those songs",1990,1,1,1.0,0.0,1.0,0.0,0.0,1.0,"I remember dancing at a hotel which I was a child with my parents, in a fiestecilla with many other children, all lined saturday night. That was the time I learned the dance, but then of course I have danced more in weddings and so",2005,3,1,1.0,2.0,1.0,2.0,2.0,0.0,#VALUE!
