,,,,1,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,4,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,3,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,7,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,6,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,2,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,5,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,,8,,"Indicate how many songs are in accordance with the following statements.""I remeber hearing those songs...",,,,,,
timestamps,Year in which you were born,Year of birth of mother / father:,Year of birth of his father / mother:,"Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:","Of the 10 songs, how many have recognized about?",Would you say that some / s of the songs he has / have evoked personal memories?,"...when I was a child""","...recently""","...with my parents""","...with other people who are not my parents""","...alone""",Would you say that your memories are clear / vivid?,"If you indicated yes, describe the memory in detail:"
24/11/2020 14:04:46,1993,1961,1961,Half,Yes,Some),Some),Some),Some),None,Yes,"Being at a dinner at the home of one of my aunts, with the whole family together. I remember my aunt start singing one of the songs blaring, and the rest of her sisters to follow. It must have been in my teens. It's a fun, happy memory.",Some),Yes,Some),Some),Some),Some),None,Yes,I do not recall precisely. It reminds me of the movie some or advertisement in which I heard another to be home with my aunt and another karaoke CD I had in my pre-teen years.,Some),Yes,Some),Some),Some),None,Some),No,"Associating a singer with dance classes he attended, although he did not hear the exact song.",Half,Yes,Some),Some),Some),Some),Some),Yes,Singing and dancing in the courtyard of my school with my friends. A 9-11 years.,The majority,Yes,Some),Some),Some),Some),Some),Yes,Celebrate New Year's Eve with my family and dance together. Listen to two songs in loop during my adolescence.,Some),Yes,Some),None,Some),Some),None,Yes,"Penelope Grease dancing in nightclub with 4 of my friends, trying to imitate the choreography. I remember being located more or less going right, away from the DJ.",Some),Yes,Some),Some),None,Some),None,Yes,Dancing at a party on ski trip to Andorra with the institute. 15-16. I remember a particular person by passing graceful dance.,Some),Yes,Some),None,None,Some),Some),Yes,Go for a concrete sidewalk in my neighborhood while listening to my iPod. It will be 4 or 5 years.
24/11/2020 14:13:34,1998,1969,1965,Some),Yes,Some),None,The majority,Some),None,No,Many of them relate to the summer or car trips,Half,No,,,,,,,,The majority,No,,,,,,,,The majority,Yes,The majority,None,Half,Half,None,Yes,"Many of them in prom parties, summer or school songs were popular in their day",All,Yes,Half,None,Half,Half,None,No,#VALUE!,The majority,Yes,The majority,None,Half,Half,None,No,#VALUE!,Half,No,,,,,,,,Some),No,,,,,,,
24/11/2020 14:26:03,1996,1964,1967,The majority,Yes,The majority,Some),The majority,Some),Some),No,,Half,Yes,The majority,The majority,Half,The majority,Some),Yes,"the final countdown reminds me of the holidays of my people (in recent years), played by the orchestra and sung by my friends and me to scream peeled",The majority,Yes,The majority,The majority,The majority,The majority,The majority,Yes,"I remember hearing one of those songs with my mother in the living room. He told me it was ""song"" that had her and my father, who danced together.",Half,Yes,Some),The majority,Half,The majority,The majority,Yes,"Torero song reminds me of a trip with my friends. It sounded a lot during the trip, in the car. Also it sounded in the pub we used to go.",Half,No,,,,,,,,The majority,Yes,The majority,Some),The majority,Some),Some),Yes,"Many of the songs remind me of mañaneros Sundays when I was little. My mother used to put a cd I had, among others, several of these songs.",Half,Yes,Some),The majority,Some),The majority,Some),Yes,Saturday night reminds me of my high school graduation,Half,Yes,None,Half,None,The majority,Half,No,#VALUE!
24/11/2020 14:33:18,1998,1968,1970,Half,No,,,,,,,,The majority,Yes,The majority,Some),The majority,Some),Some),Yes,"Most remind me go with my father in the car singing and / or dancing the living room, especially around 2005-2010",Half,Yes,The majority,Some),The majority,Some),Some),Yes,Mecano reminds me of the holidays people,The majority,Yes,The majority,Half,The majority,The majority,Half,Yes,You have to be a bullfighter and David Bisbal remind me to go to the bars of my people on a Sunday after church early 2000,The majority,Yes,The majority,Half,The majority,The majority,Half,Yes,"Around 2006 gave a happy meal with music players and my sister and me we play the same, and for years we used the soundtrack to play with bratz",Some),Yes,The majority,None,The majority,Some),Some),Yes,#VALUE!,Half,Yes,The majority,Half,The majority,The majority,Half,Yes,#VALUE!,Half,Yes,The majority,The majority,The majority,The majority,The majority,Yes,When I was 10 I told the guy I liked my favorite song was hammerfall me and said that hers was hanging in your hands
24/11/2020 14:36:46,1994,1969,1964,Some),Yes,Some),None,None,None,None,Yes,"Callosa de Segura, makes more than 15 years in the festival of Moors and Christians, in the barrack of benimerines Moors when he was little",Half,Yes,Half,None,The majority,Some),None,Yes,On the radio and in the barrack of the celebrations of the people,Half,No,,,,,,,,All,Yes,All,None,The majority,The majority,Some),Yes,In my childhood and prom dances at school,Some),No,,,,,,,,Some),No,,,,,,,,Some),Yes,Some),None,Some),The majority,None,Yes,Parties in the garden with my colleagues,Half,Yes,Half,Some),The majority,The majority,Half,Yes,I remember hearing Violators Versi in the car with my parents on the way to Barcelona
24/11/2020 14:40:16,1997,1962,1969,Some),Yes,Some),None,Some),Some),None,Yes,"Christmas dinners, New Year etc. See performances by Spanish historical songs on television with my family.",Half,Yes,Some),Some),Some),Some),None,No,,Half,Yes,Some),None,Some),Some),None,Yes,Listen to songs on TV or radio with my mother or my aunt.,Some),Yes,Some),Some),Some),Some),None,Yes,Town parties,Half,Yes,Some),Some),Some),Some),None,Yes,Listen to the radio with my mother small village parties recently ...,Some),No,,,,,,,,Some),No,,,,,,,,Some),Yes,Some),None,Some),None,None,Yes,Listen to the radio as a child with my mother
24/11/2020 16:25:36,1996,1964,1951,The majority,No,,,,,,,,Half,Yes,Some),Some),None,Half,None,Yes,The Final Countdown was the song that always dancing in the Christmas holidays with some friends when we were little,Half,No,,,,,,,,The majority,Yes,The majority,None,The majority,None,Half,Yes,My mother and me we loved to dance with Leonardo Dantes and Chayanne. I liked small Upa Dance and Bast (memories alone),Half,Yes,None,Some),None,Some),None,Yes,I used to play one of the songs with my group,The majority,Yes,The majority,None,The majority,None,None,No,"Sergio Dalma and sang a lot with my mother Daddy Cool, small",Some),Yes,None,Some),None,Some),None,Yes,Saturday Night's always dance party with my friends,Half,Yes,Some),Some),None,Some),Some),No,I liked to sing and imitate Shakira small
24/11/2020 16:37:18,1997,1961,1962,Half,No,,,,,,,,The majority,Yes,Half,None,Some),None,None,Yes,"My father had a big band classics of metal music and occasionally put it at home or when we were traveling in the car. Once small, I think five years put that tape in the car when we returned to house after spending the day at the amusement park.",Half,No,,,,,,,,The majority,Yes,Half,Some),Some),Half,Some),No,#VALUE!,Some),No,,,,,,,,Some),No,,,,,,,,Half,Yes,Some),None,None,Half,None,Yes,"In late February 2011 I went to the Institute skiing in the Pyrenees, the Catalan side and sat on the bus once with a partner who was obsessed with the theme of infinity, put it almost always.",The majority,Yes,Some),Some),None,Half,Half,Yes,When I was 13/14 years listening to a lot of rap and I always put that drawing or doing classwork.
24/11/2020 17:45:07,1995,1967,1968,Half,No,,,,,,,,The majority,Yes,The majority,Some),Some),The majority,The majority,No,,The majority,Yes,All,All,Some),The majority,All,No,,Some),No,,,,,,,,Some),No,,,,,,,,Some),No,,,,,,,,Some),No,,,,,,,,Some),No,,,,,,,
