Recalled Songs,Evoke Memory,Childhood,Recent,Parents,Other People,Alone,Vividness,Memory Context
3,1,1,1,1,1,1,1,Celebrate New Year's Eve with my family and dance together. Listen to two songs in loop during my adolescence.
4,1,2,0,2,2,0,0,#VALUE!
2,0,,,,,,,
3,1,3,2,3,3,2,1,"Around 2006 gave a happy meal with music players and my sister and me we play the same, and for years we used the soundtrack to play with bratz"
1,0,,,,,,,
2,1,1,1,1,1,0,1,Listen to the radio with my mother small village parties recently ...
2,1,0,1,0,1,0,1,I used to play one of the songs with my group
1,0,,,,,,,
1,0,,,,,,,
3,1,2,1,1,1,1,1,"I remember my first unburden zombie ipod, be the first songs I listened with my headphones, as in the first part of adolescence"
3,1,1,2,1,3,3,1,Town
3,1,3,1,1,3,1,1,"Mambo number 5 sounded a lot in 2010 and I really liked, I always sang with my sisters and friends and I also invented a dance for her. The Gene in a bottle listened on the radio and my older sister, and I looked really cool just for the fact that my sister heard. The lemon half listened recently in the ""Poison"" and the """" Biibababirapo """" series is widely used today in memes, so often hear"
1,0,,,,,,,
2,1,3,1,1,3,1,1,"Zombie was another of the first songs that got me my sister in mp3, so I very much associated with that time and my people. The Scatman remember that I liked, but ended up forgetting and I've just remembered her from a meme turned recently. I have associated generally between happy memories and bittersweet to whom I recognized."
2,1,3,3,3,3,3,0,"Actually, my memories are not vivid. The songs do not evoke a scene, I just know them by heart, and I remember perfectly is hearing them over and over again. On Kiss FM. And Aguilera on MTV. Maybe I should listen to another radio. Now that I think, what can evocarme is the video clip. But it only happens to me Aguilera, because I have not seen the video clips of Kiss FM."
1,0,,,,,,,
3,1,2,1,2,1,1,0,
2,1,1,2,1,1,3,0,
3,1,2,0,1,3,1,1,"Number Maroon 5, pipapaparapa, typical songs to go in the car with my father and go on the radio / cassette with that had a kind of music that flipaba us to mongolear together"
2,1,1,0,0,1,1,1,"I was in my village and listen to techno version of Zombie The Cranberries ""hallucinating because everyone knew the techno song, but not the original group, which is also quite famous."
3,1,3,0,1,3,1,1,I remember the days of college and some even dance to doing acrogimnasia.
3,1,1,1,0,1,0,1,Recently my brother redescubió song Scatman me and told me his story and meaning.
4,1,1,0,1,3,1,1,
