,1970,1975,1980,1985,1990,1995,2000,2005
en,17.0,7.0,15.0,20.0,27.0,13.0,22.0,14.0
de,16.0,14.0,18.0,37.0,26.0,27.0,28.0,29.0
mi,8.0,7.0,8.0,8.0,5.0,14.0,10.0,6.0
la,7.0,6.0,14.0,17.0,17.0,22.0,12.0,11.0
con,7.0,6.0,9.0,13.0,13.0,11.0,11.0,17.0
a,7.0,5.0,9.0,12.0,11.0,8.0,11.0,12.0
las,6.0,2.0,9.0,8.0,7.0,8.0,3.0,2.0
y,5.0,12.0,12.0,11.0,7.0,20.0,18.0,15.0
el,5.0,6.0,14.0,17.0,15.0,8.0,11.0,12.0
que,4.0,4.0,14.0,11.0,8.0,15.0,12.0,11.0
era,4.0,4.0,4.0,1.0,0.0,0.0,3.0,4.0
cuando,4.0,3.0,3.0,6.0,1.0,0.0,5.0,1.0
un,3.0,6.0,4.0,0.0,5.0,2.0,10.0,5.0
canciones,3.0,4.0,3.0,3.0,4.0,6.0,5.0,2.0
coche,3.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0
una,3.0,2.0,2.0,5.0,8.0,3.0,1.0,4.0
o,3.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0
me,2.0,7.0,5.0,10.0,9.0,11.0,11.0,12.0
los,2.0,6.0,0.0,3.0,5.0,1.0,3.0,3.0
,2.0,4.0,3.0,3.0,5.0,3.0,3.0,6.0
mis,2.0,2.0,3.0,4.0,3.0,3.0,4.0,6.0
madre,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0
del,2.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0
casa,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0
familia,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
años,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
cantar,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
fiestas,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0
pueblo,2.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0
han,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0
viaje,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0
moros,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recuerdo,1.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0
para,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0
Recuerdo,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0
canción,1.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0
al,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0
lo,1.0,1.0,1.0,1.0,3.0,4.0,0.0,6.0
todo,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
solía,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"madre,",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
esa,1.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0
ya,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
padres,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
Muchas,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
donde,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
karaoke,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
otros,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
flipaba,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
pequeño,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
música,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
colegio,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
como,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
Algunas,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
he,1.0,0.0,1.0,3.0,6.0,3.0,1.0,0.0
ir,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0
radio,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0
escuchado,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Me,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
"pequeño,",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
otras,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
verano,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
ellas,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
iba,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
La,1.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0
recuerdos,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0
mientras,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
ponía,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
resto,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
trae,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
tía,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
barraca,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pasaba,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hace,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
haciendo,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
toda,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
"verano,",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
sus,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
feliz.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ese,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
ser,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
hermanas,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
adolescencia.,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nochevieja,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Las,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
general,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
incluso,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fin,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
algunas,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
curso,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tenia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
clase.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sido,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hacíamos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Estar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cena,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"tías,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reunida.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empezar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"volumen,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
siguieran.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Debió,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"divertido,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relaciono,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viajes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callosa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Segura,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cristianos,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benimerines,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cenas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Navidad,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etc.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ver,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actuaciones,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
históricas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
españolas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
televisión,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
familia.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Un,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llamado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burgo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"vivía,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"profesora,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bailamos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alumnos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensayar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genial.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"

En",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cantinelas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hacían,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tareas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hogar,",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tono,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humorístico,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referencia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
